analyte	age_l	age_m	age_u	bmi_l	bmi_m	bmi_u	education_Ghana_l	education_Ghana_m	education_Ghana_u	aspirin_l	aspirin_m	aspirin_u	smoke_l	smoke_m	smoke_u	diabetes_l	diabetes_m	diabetes_u	PSA_l	PSA_m	PSA_u
Gal1	0.00121468030696424	0.0041271519270694	0.00703962354717455	0.00532892038987007	0.00987956999186412	0.0144302195938582	-0.0108274253110348	0.00727105311946638	0.0253695315499676	-0.0647979946055847	0.00245162415009004	0.0697012429057648	-0.0337098320466692	-0.00589523428639669	0.0219193634738758	-0.0157935756156951	0.0644714223932882	0.144736420402271	-0.00758664434514407	-0.00109232076194096	0.00540200282126216
PDL1	-0.00622242733937016	0.000457335768577645	0.00713709887652545	-0.0218865669716524	-0.011449637348455	-0.00101270772525761	-0.0422515874763913	-0.000742668489676448	0.0407662504970384	-0.261796725861312	-0.107559507106373	0.0466777116485662	-0.0685756087633717	-0.00478273857747504	0.0590101316084216	0.0576604908015698	0.241748524092192	0.425836557382814	-0.0142591511488246	0.000635601055006053	0.0155303532588367
CD27	-0.000581917957231944	0.00484699071210683	0.0102758993814456	-0.0296934054717573	-0.0212108984132005	-0.0127283913546436	-0.0926639016224846	-0.0589279552273601	-0.0251920088322357	-0.261535074216898	-0.136180363203704	-0.0108256521905105	-0.00702865163257084	0.0448183465913852	0.0966653448153412	0.0999999918106458	0.249615644896287	0.399231297981928	-0.0123996176175076	-0.000294061168834106	0.0118114952798394
HGF	0.000865056951358525	0.00631206692352823	0.0117590768956979	-0.00292819686428174	0.00558259293734273	0.0140933827389672	-0.0565750908879013	-0.022726660636595	0.0111217696147113	-0.207009669967655	-0.0812369958382004	0.0445356782912543	-0.00272973519553766	0.0492901335393973	0.101310002274332	-0.0853731781283256	0.064741329959251	0.214855838046828	-0.0143097472391702	-0.00216382791895819	0.00998209140125378
GZMA	-0.00186501997958304	0.00532162984698606	0.0125082796735552	-0.018914421918648	-0.00768549699207086	0.00354342793450627	-0.124997291033113	-0.080338511879402	-0.0356797327256913	-0.2737156765344	-0.107774330486243	0.058167015561915	-0.120707132646468	-0.052073408358801	0.0165603159288659	-0.327369599394513	-0.129312241499984	0.0687451163945463	-0.0339568499199345	-0.0179318252876858	-0.00190680065543715
HO1	-0.00791473998429425	0.00575085331577058	0.0194164466158354	-0.03394598230164	-0.0125939024109157	0.00875817747980861	-0.114661739725319	-0.0297419609800435	0.0551778177652325	-0.260728010419389	0.054813584271337	0.370355178962063	-0.286991845706626	-0.156483112789581	-0.025974379872535	-0.541619642178507	-0.165008652581404	0.211602337015698	-0.0298849526078027	0.000587030100777032	0.0310590128093568
CX3CL1	0.0025779046554641	0.00746820073193803	0.012358496808412	-0.0199030993610299	-0.0122621583333416	-0.00462121730565335	-0.0194637234259176	0.0109252140826417	0.0413141515912011	-0.170455220979987	-0.0575371947664402	0.0553808314471062	-0.0394974197398624	0.00720573690440741	0.0539088935486772	0.0697440879669319	0.204516080982042	0.339288073997152	-0.0112983265922492	-0.000393785954306869	0.0105107546836354
CD70	0.00300755716181417	0.00798981394326869	0.0129720707247232	-0.00448598532180687	0.00329864155079406	0.011083268423395	-0.0434733514847308	-0.012512958163845	0.0184474351570407	-0.199122890909867	-0.084081471524776	0.0309599478603145	-0.025220760237434	0.0223606367306656	0.0699420336987652	-0.0518735704424011	0.0854327737235384	0.222739117889478	-0.0161084691950514	-0.00499887159759726	0.00611072599985693
TNFRSF12A	0.00566196069750354	0.0108088691850613	0.0159557776726191	-0.0138340650409877	-0.00579217481320959	0.00224971541456848	-0.0732296937394717	-0.0412461332464548	-0.00926257275343787	-0.185478378685432	-0.0666351147136061	0.0522081492582195	-0.0258325025664126	0.0233213461104661	0.0724751947873448	0.00801563891344603	0.149859630337929	0.291703621762411	-0.00560807862834007	0.00586866467813307	0.0173454079846062
CCL23	0.00207520743160213	0.00860495215035174	0.0151346968691014	-0.0249345096722813	-0.014731979285246	-0.00452944889821075	-0.0807615257881494	-0.0401848406341487	0.000391844519852025	-0.247674777136603	-0.0969015164200103	0.0538717442965826	-0.108279307225919	-0.0459191380913859	0.016441031043147	-0.0177341487375435	0.162219517842969	0.342173184423481	-0.00954567128426988	0.00501456505469935	0.0195748013936686
CD5	-0.00531019830823528	-9.94574040129546e-05	0.00511128350020937	-0.0108793226216006	-0.00273769615622848	0.00540393030914367	-0.0777130468734901	-0.0453328234196413	-0.0129525999657924	-0.246677221051706	-0.126360052353973	-0.0060428836562406	-0.0703257711899727	-0.0205623121116282	0.0292011469667164	-0.0101767344273114	0.133426418789897	0.277029572007106	-0.0186275351453489	-0.00700845624801347	0.00461062264932198
CCL3	-0.0481439301787132	-0.0242641988786673	-0.00038446757862139	-0.0731760246472269	-0.0358646603111325	0.00144670402496194	-0.205566840026896	-0.0571750758371249	0.0912166883526464	0.283823688841047	0.835212006183023	1.386600323525	-0.06170311554513	0.166352367004151	0.394407849553431	-0.926835616848674	-0.268732522548295	0.389370571752083	-0.0914137479199543	-0.0381659493587987	0.0150818492023568
MMP7	0.00561313269766811	0.00910502321449277	0.0125969137313174	-0.00144039464634951	0.0040155796130739	0.00947155387249731	-0.0118568767152554	0.00984218629506197	0.0315412493053793	-0.0690282729056849	0.0116002572993701	0.0922287875044252	-0.0362002136930626	-0.00285206723288133	0.0304960792272999	0.0397620738638276	0.135995315570196	0.232228557276565	-0.00305964377287975	0.00472668683952255	0.0125130174519248
NCR1	-0.00104981838712722	0.00532950573043644	0.0117088298480001	-0.0184095860397874	-0.00844208333308841	0.00152541937361057	-0.0629032286209478	-0.0232612766974013	0.0163806752261451	-0.15734237942679	-0.0100423639129741	0.137257651600841	-0.119938605033135	-0.0590149781426412	0.00190864874785267	0.103019919613332	0.27882813489696	0.454636350180589	-0.0152686446276146	-0.00104382101882897	0.0131810025899567
DCN	0.00178686649098989	0.00530624322003315	0.0088256199490764	-0.00993470226983203	-0.00443578162774538	0.00106313901434128	-0.015602576977585	0.00626728893963121	0.0281371548568474	-0.0893744935452022	-0.0081113005746876	0.073151892395827	-0.0422298957670523	-0.00861925132009711	0.024991393126858	0.00908151801565005	0.106072254062486	0.203062990109321	0.00517969612475105	0.0130273163837174	0.0208749366426838
TNFRSF21	-0.00200323445223784	0.00135466113405876	0.00471255672035536	-0.0127226117353935	-0.0074760005382803	-0.00222938934116707	-0.0303783141331595	-0.00951191309393835	0.0113544879452828	-0.112803253813634	-0.0352686964153865	0.0422658609828608	-0.0164694770196772	0.0155989951361003	0.0476674672918779	0.0123755529114666	0.104916019465005	0.197456486018543	-0.00418421302395836	0.00330333135088858	0.0107908757257355
