analyte	age_l	age_m	age_u	bmi_l	bmi_m	bmi_u	education_NCIMD_l	education_NCIMD_m	education_NCIMD_u	aspirin_l	aspirin_m	aspirin_u	smoke_l	smoke_m	smoke_u	diabetes_l	diabetes_m	diabetes_u	PSA_l	PSA_m	PSA_u
CCL23	0.00308092319555836	0.0109417584072454	0.0188025936189324	-0.0137434770642916	-0.00260787101172981	0.00852773504083196	-0.0557603842388809	-0.000931938741062416	0.0538965067567561	-0.221294260597871	-0.100249727617148	0.0207948053635754	-0.0586733006287165	0.023401953906145	0.105477208441007	0.0492959911449217	0.182488287490718	0.315680583836515	-0.0236654270906143	0.0327380659090346	0.0891415589086835
CD5	-0.00422330733654269	0.00216980562771713	0.00856291859197694	-0.011011699708603	-0.00195525907571962	0.00710118155716376	-0.0516637077946442	-0.007072460645591	0.0375187865034622	-0.0951691689315972	0.00327474347879417	0.101718655889186	-0.0558470053551028	0.0109037100181988	0.0776544253915004	0.0313379091618803	0.139661436316077	0.247984963470274	-0.0607792691537455	-0.0149070567723584	0.0309651556090288
CCL3	0.000486302067072383	0.0255635394633721	0.0506407768596718	-0.0263467742113627	0.00917747086078831	0.0447017159329393	-0.212442476770913	-0.0375315535938586	0.137379369583196	-0.285529233663706	0.100620889998584	0.486771013660875	-0.225606808429225	0.0362255016123861	0.298057811653997	-0.243612376068099	0.181290925537307	0.606194227142713	-0.249933892291167	-0.0699983325392193	0.109937227212728
MMP7	0.00836041443315074	0.0124605231127177	0.0165606317922846	-0.00304971039172651	0.00275847586314704	0.00856666211802059	-0.0484806084507723	-0.0198828094613539	0.00871498952806455	-0.0256645509820957	0.0374706918926724	0.100605934767441	0.00106308122547562	0.0438724589103985	0.0866818365953215	0.0856145484650702	0.155085905590956	0.224557262716843	-0.0238310567501532	0.00558826638511984	0.0350075895203929
NCR1	0.00631480414275993	0.0145929891840158	0.0228711742252716	-0.0065976580963027	0.00512916290518364	0.01685598390667	-0.0791340928934434	-0.0213946790611131	0.0363447347712172	-0.114256980814207	0.0132140849520698	0.140685150718347	-0.157745414148427	-0.071312595490988	0.015120223166451	0.150909295626992	0.291173077468013	0.431436859309034	-0.0852707147604014	-0.0258726305301044	0.0335254537001927
DCN	0.00896860845555954	0.0129413743121416	0.0169141401687236	-0.00779368235383201	-0.0021658890816625	0.00346190419050702	-0.0223355931943958	0.00537400386207965	0.0330836009185551	-0.0380726382765698	0.0231017248543081	0.084276087985186	-0.0637831510587986	-0.0223033642288189	0.0191764226011608	-0.00861195985717018	0.0587017279422684	0.126015415741707	-0.0283949510586961	0.000110654916585244	0.0286162608918666
TNFRSF21	0.00513624901834984	0.00919129413531955	0.0132463392522893	-0.00941615971589115	-0.00367181019934046	0.00207253931721023	-0.0295876364304276	-0.001304150744782	0.0269793349408636	-0.0728822275913089	-0.0104408929008668	0.0520004417895753	-0.0336486051692227	0.00869026228735767	0.051029129743938	0.0530511027269261	0.121758912567796	0.190466722408666	-0.0543483597164015	-0.0252523791101402	0.00384360149612111
TNFRSF4	0.00580972960525531	0.0134490498365694	0.0210883700678835	-0.00686261274832275	0.00395919667961234	0.0147810061075474	-0.076235325904051	-0.0229519225933873	0.0303314807172765	-0.134810002112943	-0.0171764523961372	0.100457097320669	-0.0478551652337	0.0319072436673587	0.111669652568417	0.15429998514693	0.283738979443219	0.413177973739508	-0.0870803092044017	-0.0322662425581009	0.0225478240881999
CCL17	-0.0132067858449828	-0.0024737664471639	0.00825925295065501	-0.0247063872451007	-0.00950206447912765	0.00570225828684536	-0.0390956679215867	0.0357659407030838	0.110627549327754	0.0445318206238007	0.209803485211108	0.375075149798416	-0.0675785459053902	0.0444852838634748	0.15654911363234	-0.170475414475142	0.0113825512272936	0.19324051692973	-0.0318807459237144	0.0451313994994503	0.122143544922615
ANGPT2	-0.000398235013969777	0.00591546557908664	0.0122291661721431	-0.00571949960736917	0.00322444599698263	0.0121683916013344	-0.0615270764902544	-0.0174897217392895	0.0265476330116755	-0.102634326853706	-0.00541324040599544	0.091807846041715	0.0765298012657597	0.142451369302396	0.208372937339032	0.0458562863660337	0.152834267430787	0.259812248495541	-0.0675118260201445	-0.0222094176102994	0.0230929907995457
LAMP3	-0.00647885004415848	0.00477704402648952	0.0160329380971375	-0.0384601885409972	-0.0225151650460698	-0.00657014155114246	-0.13559862170797	-0.0570900207816699	0.0214185801446299	-0.158726349058534	0.0145967653907356	0.187919879840005	0.248944942048373	0.366468124507709	0.483991306967046	0.0876182190653896	0.278335660446901	0.469053101828413	-0.0700983585286073	0.0106655457286266	0.0914294499858606
CASP8	-0.000947049539427057	0.0156844633977881	0.0323159763350033	-0.0127441428218488	0.0108159460414269	0.0343760349047026	-0.134981545750701	-0.0189786050875211	0.0970243355756587	-0.187475836362107	0.068623377275527	0.324722590913161	-0.194205270588089	-0.0205550641071898	0.15309514237371	-0.330852384506851	-0.0490516165020591	0.232749151502732	-0.109454332255469	0.00988100530931152	0.129216342874092
ICOSLG	0.00102180412779599	0.00511032325781956	0.00919884238784314	-0.0159025609866099	-0.0101107924093198	-0.00431902383202958	-0.0311657611756901	-0.00264879799676387	0.0258681651821624	-0.065819206221189	-0.00286242423182993	0.0600943577575292	-0.0541092047576367	-0.0114208339635974	0.0312675368304419	-0.00688567307171566	0.0623893132264248	0.131664299524565	-0.0384331676528313	-0.00909700248473781	0.0202391626833557
MMP12	0.0116420190098157	0.0217417208799419	0.031841422750068	-0.0130627245790052	0.00124444485597271	0.0155516142909506	-0.12601550667927	-0.0555712169036564	0.0148730728719573	-0.132507481504626	0.0230120864792438	0.178531654463114	0.0677407996498871	0.173192139029755	0.278643478409623	0.0827587372346116	0.253885907346265	0.425013077457918	-0.0596303055292534	0.0128376254716749	0.0853055564726031
CXCL13	0.00690930734552495	0.0169256266725562	0.0269419459995875	-0.00419132555311864	0.00999772473464889	0.0241867750224164	-0.0687481448266046	0.00111456104648037	0.0709772669195653	-0.169552267923705	-0.0153166603226525	0.1389189472784	-0.0543296806851883	0.0502510586548639	0.154831797994916	-0.301334232478839	-0.131619878192844	0.0380944760931513	-0.053095232593666	0.0187744074421045	0.0906440474778751
VEGFA	0.00325883621293857	0.0109743109191074	0.0186897856252762	-0.00164148147364773	0.00928820786886197	0.0202178972113717	-0.059712452143794	-0.00589787989731806	0.0479166923491579	-0.130045323724618	-0.0112391145390732	0.107567094646472	-0.0540358833349478	0.0265216570934043	0.107079197521756	0.0134299825128746	0.144159321805562	0.274888661098248	-0.087812288686245	-0.0324517943037446	0.0229087000787558
CCL20	-0.000811902558842857	0.0173611937002562	0.0355342899593554	-0.0311528182558465	-0.00540893287382719	0.0203349525081921	-0.237469908273037	-0.110714596536286	0.0160407152004663	-0.200682128064235	0.079155050843411	0.358992229751057	0.104151292480791	0.293897224177023	0.483643155873255	-0.00678061602705821	0.301140407284044	0.609061430595147	-0.1522612669926	-0.0218646768048176	0.108531913382965
KLRD1	0.00640963177795201	0.0157448116123813	0.0250799914468105	-0.00565040811422376	0.00757374457014649	0.0207978972545167	-0.0565268343742386	0.00858499979872242	0.0736968339716835	-0.106718606786346	0.0370285209577365	0.180775648701819	-0.142501714073746	-0.0450327759257529	0.0524361622222401	-0.187919385576494	-0.0297461119401213	0.128427161696251	-0.131727766161332	-0.0647454753153328	0.00223681553066667
GZMB	-0.0118454364129241	0.000165932807085949	0.012177302027096	-0.0197222311940825	-0.00270700670660799	0.0143082177808665	-0.0739043616391053	0.00987359387055647	0.0936515493802183	-0.0876808021668864	0.097275444662149	0.282231691491184	-0.161015296201981	-0.0356041713664359	0.0898069534691092	-0.196626948231833	0.00689110113419971	0.210409150500232	-0.141646235060236	-0.0554616043596971	0.0307230263408418
CD83	0.00110257621748136	0.00772206208887351	0.0143415479602657	-0.0122525927645009	-0.00287547380076396	0.006501645162973	-0.0800804985117861	-0.0339103256803276	0.0122598471511308	-0.116189185706086	-0.0142594855790681	0.0876702145479496	0.0324357497964543	0.101550032586239	0.170664315376023	0.121711074940528	0.233870215807451	0.346029356674375	-0.0469181941036578	0.000578301491778318	0.0480747970872145
IL12	0.00413196869654244	0.015688546684025	0.0272451246715075	0.000394899323752008	0.0167658696238271	0.0331368399239021	-0.125833082667312	-0.0452272450858386	0.0353785924956352	-0.239366562126031	-0.0614133869633735	0.116539788199284	-0.197657521757801	-0.0769948880386237	0.043667745680554	0.109200494474064	0.305012659288767	0.50082482410347	-0.112709665955091	-0.0297882780791861	0.0531331097967183
CSF1	0.00205284871711071	0.00564575657911659	0.00923866444112247	-0.0017394265210809	0.00335026248231739	0.00843995148571568	-0.0388434722729832	-0.0137833421995535	0.0112767878738762	-0.0424139082373089	0.0129112375630617	0.0682363833634322	-0.0269612111431398	0.0105524651206769	0.0480661413844936	0.0446786553653392	0.105556111235163	0.166433567104986	-0.0265459475529491	-0.000765919351653061	0.025014108849643
